model,fold,seed,n_test,MAE,MedAE,RMSE,MSE,R2,r,bias,p90,failed
GAT,2,2,756,4.4677,2.96,6.5889,43.4135,0.9369,0.9681,-0.0191,10.9672,0
SAGE,2,0,756,3.9005,2.7887,5.7771,33.3748,0.9515,0.9758,-0.368,9.203,0
SAGE,2,1,756,3.8229,2.41,5.9463,35.3588,0.9486,0.9747,-0.8337,9.7924,0
SAGE,2,2,756,3.9704,2.5728,6.1332,37.6156,0.9453,0.9726,-0.6008,9.1364,0
GIN,2,0,756,5.0661,3.0832,7.6853,59.0643,0.9141,0.9571,-0.9878,13.6236,0
GIN,2,1,756,4.3585,2.7315,6.4479,41.5757,0.9396,0.9712,-1.4038,10.7544,0
GIN,2,2,756,3.8545,2.4356,5.9072,34.8946,0.9493,0.976,-1.2285,9.5709,0
CNN based GNN,0,0,756,3.09,1.9328,5.1227,26.2416,0.9619,0.9809,-0.3475,7.3624,0
CNN based GNN,0,1,756,3.448,2.1398,5.5121,30.383,0.9558,0.9812,-1.8112,8.6476,0
CNN based GNN,0,2,756,3.2821,1.9343,5.3444,28.5621,0.9585,0.9791,-0.2295,7.8396,0
CNN based GNN,1,0,756,3.3435,2.0181,5.3609,28.7392,0.9582,0.9791,-0.4179,7.8353,0
CNN based GNN,1,1,756,3.9715,2.6592,5.9897,35.8762,0.9479,0.9752,1.2282,9.4341,0
CNN based GNN,1,2,756,3.4494,2.0666,5.5013,30.2641,0.956,0.9784,-0.7986,8.3059,0
CNN based GNN,2,0,756,3.1358,2.0274,4.953,24.5318,0.9643,0.9825,-0.6331,7.3274,0
CNN based GNN,2,1,756,3.4771,2.2283,5.4481,29.682,0.9569,0.9782,0.0259,8.2019,0
CNN based GNN,2,2,756,3.4462,2.1872,5.5048,30.3033,0.956,0.9777,-0.1538,8.5116,0
CNN based GNN,3,0,756,3.3388,1.9033,5.3199,28.3011,0.9589,0.9809,-1.1826,8.1815,0
CNN based GNN,3,1,756,3.6274,2.26,5.718,32.6953,0.9525,0.9774,-1.1379,8.6841,0
CNN based GNN,3,2,756,3.2883,1.9247,5.5231,30.5044,0.9557,0.9777,-0.4517,7.6086,0
CNN based GNN,4,0,756,3.2629,2.1298,5.2076,27.119,0.9606,0.9809,-0.7475,8.0951,0
CNN based GNN,4,1,756,3.4863,2.2024,5.5428,30.7223,0.9553,0.979,-1.2844,8.5843,0
CNN based GNN,4,2,756,3.4339,2.2128,5.4587,29.7979,0.9567,0.9786,-0.7553,8.9377,0
Elastic Net,0,0,756,3.7556,2.7287,5.5234,30.5084,0.9557,0.9776,-0.1187,7.3392,0
Elastic Net,0,1,756,3.7556,2.7287,5.5234,30.5084,0.9557,0.9776,-0.1187,7.3392,0
Elastic Net,0,2,756,3.7556,2.7287,5.5234,30.5084,0.9557,0.9776,-0.1187,7.3392,0
Elastic Net,1,0,756,3.7616,2.6808,5.652,31.9453,0.9536,0.9765,-0.131,7.5943,0
Elastic Net,1,1,756,3.7616,2.6808,5.652,31.9453,0.9536,0.9765,-0.131,7.5943,0
Elastic Net,1,2,756,3.7616,2.6808,5.652,31.9453,0.9536,0.9765,-0.131,7.5943,0
Elastic Net,2,0,756,3.7736,2.7979,5.5396,30.6872,0.9554,0.9774,-0.0007,7.6326,0
Elastic Net,2,1,756,3.7736,2.7979,5.5396,30.6872,0.9554,0.9774,-0.0007,7.6326,0
Elastic Net,2,2,756,3.7736,2.7979,5.5396,30.6872,0.9554,0.9774,-0.0007,7.6326,0
Elastic Net,3,0,756,3.8149,2.814,5.6456,31.8731,0.9537,0.9766,-0.1235,7.6962,0
Elastic Net,3,1,756,3.8149,2.814,5.6456,31.8731,0.9537,0.9766,-0.1235,7.6962,0
Elastic Net,3,2,756,3.8149,2.814,5.6456,31.8731,0.9537,0.9766,-0.1235,7.6962,0
Elastic Net,4,0,756,3.8413,2.8343,5.6146,31.5243,0.9542,0.9768,-0.0877,7.6424,0
Elastic Net,4,1,756,3.8413,2.8343,5.6146,31.5243,0.9542,0.9768,-0.0877,7.6424,0
Elastic Net,4,2,756,3.8413,2.8343,5.6146,31.5243,0.9542,0.9768,-0.0877,7.6424,0
ResnetAge,0,0,756,5.2086,3.5766,7.4687,55.7821,0.9189,0.9589,0.2024,11.9988,0
ResnetAge,0,1,756,5.2325,3.752,7.6048,57.8331,0.9159,0.9575,0.7395,12.2526,0
ResnetAge,0,2,756,5.9568,4.3627,8.3601,69.8913,0.8984,0.9479,0.043,14.1334,0
ResnetAge,1,0,756,5.6461,3.7173,7.9953,63.9245,0.9071,0.9527,0.0066,13.376,0
ResnetAge,1,1,756,5.2333,3.8486,7.454,55.5626,0.9192,0.9589,-0.1172,12.14,0
